City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,whitehorse,60.7161,-135.0538,18.43,72,75,2.06,CA,1690057718
83,dudinka,69.4058,86.1778,14.11,95,100,5.67,RU,1690057718
84,caucete,-31.6518,-68.2811,17.76,34,58,7.75,AR,1690057718
85,georgetown,5.4112,100.3354,27.96,90,20,1.03,MY,1690057576
86,shahrak,34.1074,64.3052,16.63,34,0,1.69,AF,1690057719
87,el granada,37.5027,-122.4694,37.56,62,40,3.6,US,1690057719
88,jinchang,38.4953,102.1739,23.61,23,35,1.03,CN,1690057720
89,okha,53.5739,142.9478,15.02,82,100,3.94,RU,1690057429
90,howrah,22.5892,88.3103,28.0,94,40,2.06,IN,1690057720
91,quixada,-4.9714,-39.0153,32.31,31,59,3.42,BR,1690057721
92,kiunga,-6.1219,141.2906,21.99,99,100,1.29,PG,1690057722
93,g'uzor,38.6214,66.2522,25.02,20,0,2.16,UZ,1690057722
94,longyearbyen,78.2186,15.6401,8.91,71,40,3.09,SJ,1690057722
95,nova sintra,14.8667,-24.7167,22.87,76,8,7.9,CV,1690057722
96,kharp,66.8014,65.8081,17.7,92,99,3.2,RU,1690057723
97,las animas,-39.8087,-73.2182,12.08,91,22,1.99,CL,1690057723
98,sitia,35.2,26.0986,31.66,60,0,4.46,GR,1690057723
99,malvan,16.0667,73.4667,25.83,92,100,9.16,IN,1690057724
100,la mira,18.035,-102.3266,31.56,52,100,2.08,MX,1690057724
101,broken hill,-31.95,141.4333,7.89,85,91,4.14,AU,1690058032
102,medina,24.4686,39.6142,38.24,11,0,3.6,SA,1690057724
103,margaret river,-33.95,115.0667,10.27,92,12,3.89,AU,1690057724
104,seminole,28.7086,-81.2081,37.05,36,59,5.02,US,1690057725
105,selkirk,50.1436,-96.8845,28.38,51,37,5.96,CA,1690057623
106,egilsstadir,65.2653,-14.3948,12.95,71,40,2.57,IS,1690057725
107,kununurra,-15.7667,128.7333,20.99,37,10,5.66,AU,1690057726
108,campo gallo,-26.5833,-62.85,35.44,22,100,5.32,AR,1690057726
109,mount gambier,-37.8333,140.7667,8.75,81,100,2.92,AU,1690057726
110,basco,20.4487,121.9702,28.82,79,84,5.54,PH,1690057726
111,verkhnevilyuysk,63.4453,120.3167,18.73,84,77,2.2,RU,1690057726
112,jamestown,42.097,-79.2353,26.4,48,40,4.63,US,1690057727
113,dhidhdhoo,6.8833,73.1,28.15,80,77,6.85,MV,1690057727
114,lompoc,34.6391,-120.4579,35.94,94,100,3.09,US,1690057727
115,lae,-6.7221,146.9847,24.37,91,100,1.5,PG,1690057727
116,tolanaro,-25.0319,46.9987,19.04,94,40,7.2,MG,1690057727
117,afaahiti,-17.75,-149.2833,24.93,66,68,4.26,PF,1690057617
118,chinchilla,-26.75,150.6333,5.15,60,0,2.35,AU,1690057728
119,pisco,-13.7,-76.2167,22.03,64,0,8.23,PE,1690057728
120,kalmunai,7.4167,81.8167,26.81,66,99,1.78,LK,1690057728
121,port alberni,49.2413,-124.8028,24.38,55,34,5.81,CA,1690057728
122,sasolburg,-26.8136,27.817,10.09,60,21,3.81,ZA,1690057728
123,college,64.8569,-147.8028,27.48,46,75,0.45,US,1690057729
124,aral,40.5156,81.2636,32.75,18,98,6.24,CN,1690057729
125,catia la mar,10.6038,-67.0303,30.11,74,75,1.03,VE,1690058036
126,tazacorte,28.629,-17.9293,23.97,72,40,9.77,ES,1690057729
127,nizhneangarsk,55.7833,109.55,14.09,59,4,1.76,RU,1690057729
128,hebi,35.8992,114.1925,23.97,85,0,0.85,CN,1690057729
129,tobelo,1.7284,128.0095,25.66,82,100,2.3,ID,1690057730
130,chui,-33.6971,-53.4616,22.43,68,100,6.39,UY,1690057730
131,porangatu,-13.4408,-49.1486,31.5,25,14,3.44,BR,1690057730
132,la passe,45.5549,-0.8967,20.13,85,30,2.57,FR,1690057730
133,the pas,53.8251,-101.2541,23.01,53,75,2.06,CA,1690057730
134,mejit,10.2753,170.8646,28.12,74,81,8.83,MH,1690057731
135,remire-montjoly,4.9167,-52.2667,28.02,83,75,2.06,GF,1690057676
136,codrington,-38.2667,141.9667,10.08,63,96,5.22,AU,1690057675
137,kodiak,57.79,-152.4072,8.73,93,100,2.06,US,1690057731
138,fortuna,40.5982,-124.1573,21.63,71,20,5.66,US,1690057731
139,mount isa,-20.7333,139.5,9.87,46,0,7.2,AU,1690057731
140,vorgashor,67.5833,63.95,16.93,91,100,1.16,RU,1690057732
141,invercargill,-46.4,168.35,6.65,95,100,2.26,NZ,1690057732
142,ancud,-41.8697,-73.8203,7.57,64,82,3.51,CL,1690057732
143,nyagan,62.1406,65.3936,16.08,76,66,2.09,RU,1690057732
144,geraldton,-28.7667,114.6,5.23,87,0,2.57,AU,1690057536
